INVOICEID,ITEM,PRODUCTID,QUANTITY,COST
36,19,16,9,28.50
43,20,35,17,35.40
22,13,10,5,24.60
30,5,0,14,5.40
36,10,2,12,18.60
40,7,33,5,21.00
48,0,3,3,19.50
0,1,13,13,38.40
2,11,31,18,15.60
6,4,15,14,21.90
48,13,8,21,19.80
3,16,6,2,22.50
34,9,47,14,7.50
42,9,2,24,18.60
28,16,18,22,3.30
46,0,34,24,24.90
11,9,39,23,10.20
46,4,16,3,28.50
12,0,25,20,31.50
16,3,22,12,9.00
32,7,46,14,9.60
24,15,43,7,32.70
31,2,16,15,28.50
29,6,31,1,15.60
49,12,48,16,9.90
36,12,28,14,34.80
48,5,32,10,6.90
2,7,24,1,33.90
32,1,18,13,3.30
38,1,49,17,3.00
24,13,34,14,24.90
4,8,15,17,21.90
8,3,13,15,38.40
26,8,34,9,24.90
4,2,42,12,15.00
28,7,3,11,19.50
38,4,30,5,7.80
42,8,45,4,3.60
0,4,13,21,38.40
33,12,6,2,22.50
29,2,7,6,37.20
38,12,22,12,9.00
8,10,23,8,11.40
41,2,28,12,34.80
14,14,7,4,37.20
37,6,35,22,35.40
4,13,37,12,12.90
43,18,0,9,5.40
38,9,12,10,38.70
16,2,44,5,29.40
31,7,47,2,7.50
45,4,28,24,34.80
3,2,32,8,6.90
20,1,27,21,28.80
48,16,8,19,19.80
16,5,9,2,33.90
49,4,17,24,20.40
36,18,9,4,33.90
40,8,49,14,3.00
0,6,49,11,3.00
9,3,20,2,24.30
11,2,40,19,7.80
11,15,49,19,3.00
13,2,27,11,28.80
14,9,31,17,15.60
32,10,45,18,3.60
22,1,38,14,34.20
30,9,32,14,6.90
43,19,46,19,9.60
33,1,1,21,32.70
34,6,30,11,7.80
3,17,10,19,24.60
49,9,16,7,28.50
17,8,29,16,21.90
23,6,15,13,21.90
26,18,48,18,9.90
47,2,16,22,28.50
7,8,35,1,35.40
36,9,47,17,7.50
36,21,45,14,3.60
43,9,13,23,38.40
43,11,24,14,33.90
8,7,39,14,10.20
28,10,2,13,18.60
34,0,34,1,24.90
25,3,17,13,20.40
41,7,25,12,31.50
44,11,45,19,3.60
45,2,42,21,15.00
4,12,13,23,38.40
18,4,43,15,32.70
33,7,25,6,31.50
33,8,6,23,22.50
44,5,15,16,21.90
38,7,22,14,9.00
11,12,19,1,7.80
3,7,12,24,38.70
10,0,31,24,15.60
14,1,39,3,10.20
22,8,17,8,20.40
22,10,48,5,9.90
28,5,44,18,29.40
28,14,29,22,21.90
41,3,2,8,18.60
14,2,37,22,12.90
15,3,42,19,15.00
33,11,17,1,20.40
25,2,47,22,7.50
40,4,35,11,35.40
49,7,2,13,18.60
9,4,23,5,11.40
13,6,29,22,21.90
14,4,40,15,7.80
28,12,5,3,31.50
33,0,10,10,24.60
44,15,43,12,32.70
48,8,46,13,9.60
22,6,28,1,34.80
30,3,17,4,20.40
36,17,32,14,6.90
40,1,3,13,19.50
1,8,37,23,12.90
34,7,46,8,9.60
1,6,39,6,10.20
2,2,48,21,9.90
34,10,9,21,33.90
17,9,44,24,29.40
28,3,26,18,26.70
28,9,7,19,37.20
38,2,27,24,28.80
2,9,25,22,31.50
4,9,0,9,5.40
13,3,23,22,11.40
14,12,38,6,34.20
26,5,8,23,19.80
26,9,37,7,12.90
30,0,16,17,28.50
2,4,29,13,21.90
3,10,21,24,21.60
32,4,19,6,7.80
40,15,32,13,6.90
11,4,47,1,7.50
36,7,40,9,7.80
37,3,41,15,29.70
48,2,43,8,32.70
11,13,43,9,32.70
14,5,44,7,29.40
14,7,18,17,3.30
26,4,33,12,21.00
1,3,35,8,35.40
15,0,19,15,7.80
17,7,7,11,37.20
42,10,12,18,38.70
45,1,19,12,7.80
4,11,7,13,37.20
18,5,8,6,19.80
28,2,42,20,15.00
7,1,1,4,32.70
31,11,29,22,21.90
45,3,24,12,33.90
24,12,16,17,28.50
46,1,22,20,9.00
32,13,22,3,9.00
39,1,38,9,34.20
19,2,31,1,15.60
26,0,39,6,10.20
35,2,33,16,21.00
24,4,8,2,19.80
1,12,34,8,24.90
11,14,27,15,28.80
31,5,5,4,31.50
37,12,26,20,26.70
18,3,16,20,28.50
48,11,0,24,5.40
14,15,13,14,38.40
17,10,40,9,7.80
44,8,24,5,33.90
42,6,9,1,33.90
17,4,9,21,33.90
46,5,37,21,12.90
24,17,15,17,21.90
32,5,14,1,16.20
24,8,47,7,7.50
33,10,0,10,5.40
37,7,34,11,24.90
17,11,33,15,21.00
26,13,24,18,33.90
7,6,36,18,30.30
33,5,21,23,21.60
33,9,33,24,21.00
45,0,22,4,9.00
0,3,49,18,3.00
2,8,37,10,12.90
6,0,33,15,21.00
22,4,32,11,6.90
32,8,8,7,19.80
32,12,10,20,24.60
36,8,49,6,3.00
29,3,15,12,21.90
0,5,10,5,24.60
14,10,12,16,38.70
28,4,16,13,28.50
38,3,15,11,21.90
7,7,14,20,16.20
30,7,4,8,35.70
23,9,44,19,29.40
0,0,49,11,3.00
2,5,32,14,6.90
10,2,15,4,21.90
18,1,13,15,38.40
44,12,49,2,3.00
19,0,41,1,29.70
42,3,42,19,15.00
3,14,9,5,33.90
5,2,16,20,28.50
21,1,8,13,19.80
17,5,35,7,35.40
7,10,6,2,22.50
22,12,49,23,3.00
7,3,6,9,22.50
19,1,1,13,32.70
23,4,44,5,29.40
29,0,43,9,32.70
43,0,27,9,28.80
1,5,42,23,15.00
6,2,37,18,12.90
8,0,20,5,24.30
23,7,30,8,7.80
24,5,34,12,24.90
30,11,12,23,38.70
48,20,32,14,6.90
9,1,22,13,9.00
31,1,14,5,16.20
21,2,3,14,19.50
42,4,45,13,3.60
7,12,21,13,21.60
26,17,33,8,21.00
39,3,29,18,21.90
44,2,19,18,7.80
44,16,33,12,21.00
48,3,10,21,24.60
24,18,29,20,21.90
37,10,19,18,7.80
42,5,20,4,24.30
30,2,21,2,21.60
36,6,21,23,21.60
11,6,33,5,21.00
26,14,46,8,9.60
37,15,9,19,33.90
41,6,36,18,30.30
43,10,37,11,12.90
43,17,23,24,11.40
2,1,20,7,24.30
18,9,37,3,12.90
31,0,3,13,19.50
36,16,46,17,9.60
38,0,48,24,9.90
40,3,2,6,18.60
44,1,24,4,33.90
44,13,4,10,35.70
39,11,42,2,15.00
17,1,26,13,26.70
31,8,38,23,34.20
36,14,49,9,3.00
40,16,28,17,34.80
38,8,42,15,15.00
40,2,35,21,35.40
43,1,49,10,3.00
9,7,47,16,7.50
11,1,14,7,16.20
42,1,9,18,33.90
48,14,16,22,28.50
48,19,45,23,3.60
24,14,49,17,3.00
37,1,41,20,29.70
12,3,45,3,3.60
27,5,49,7,3.00
4,15,8,24,19.80
6,12,27,13,28.80
49,6,18,22,3.30
48,10,44,5,29.40
3,0,37,17,12.90
9,8,11,20,20.70
32,6,46,4,9.60
44,0,21,21,21.60
4,4,3,3,19.50
6,1,41,11,29.70
39,7,7,7,37.20
22,15,28,12,34.80
36,15,10,13,24.60
43,12,38,10,34.20
47,3,14,17,16.20
13,4,43,21,32.70
17,2,36,1,30.30
49,8,36,18,30.30
14,6,10,8,24.60
36,4,19,22,7.80
2,0,45,24,3.60
7,13,2,7,18.60
31,3,21,11,21.60
2,3,35,6,35.40
6,3,3,15,19.50
7,5,1,5,32.70
49,11,5,3,31.50
9,9,45,19,3.60
38,10,0,17,5.40
5,1,36,6,30.30
6,8,2,12,18.60
26,10,41,16,29.70
27,6,41,13,29.70
34,8,14,22,16.20
35,3,1,17,32.70
24,19,40,8,7.80
29,8,7,12,37.20
36,2,3,7,19.50
37,4,13,5,38.40
43,8,4,22,35.70
48,6,41,15,29.70
29,1,27,7,28.80
36,13,33,3,21.00
10,3,13,22,38.40
29,7,46,24,9.60
34,5,44,10,29.40
22,2,25,19,31.50
38,5,10,4,24.60
43,14,14,11,16.20
48,7,49,17,3.00
5,0,26,7,26.70
3,6,0,10,5.40
4,1,27,22,28.80
11,8,16,18,28.50
39,9,21,4,21.60
40,0,12,18,38.70
46,3,41,23,29.70
2,12,18,23,3.30
31,9,34,19,24.90
40,12,47,14,7.50
44,9,39,23,10.20
23,3,23,21,11.40
39,4,35,6,35.40
37,14,6,24,22.50
39,8,34,22,24.90
40,10,21,16,21.60
9,11,17,4,20.40
18,6,6,22,22.50
24,9,8,5,19.80
32,0,43,11,32.70
32,2,24,21,33.90
48,17,26,19,26.70
4,7,8,10,19.80
7,4,17,4,20.40
8,5,8,10,19.80
27,1,40,19,7.80
12,1,41,21,29.70
17,6,21,4,21.60
24,6,37,11,12.90
8,9,10,2,24.60
40,5,40,20,7.80
23,8,45,8,3.60
43,2,30,1,7.80
9,5,19,2,7.80
23,5,33,24,21.00
28,0,39,16,10.20
48,4,20,21,24.30
1,10,41,11,29.70
7,2,19,9,7.80
31,10,27,20,28.80
44,10,28,22,34.80
49,10,1,3,32.70
36,20,31,7,15.60
41,8,43,2,32.70
41,1,31,6,15.60
44,14,40,24,7.80
12,2,41,6,29.70
23,0,34,14,24.90
34,4,1,3,32.70
39,0,46,24,9.60
6,13,5,5,31.50
8,2,25,13,31.50
1,1,43,7,32.70
1,4,33,5,21.00
6,5,24,1,33.90
16,4,5,1,31.50
27,2,1,10,32.70
41,4,27,4,28.80
9,2,46,6,9.60
23,1,42,21,15.00
30,4,29,14,21.90
2,10,9,20,33.90
26,6,11,2,20.70
47,1,16,14,28.50
24,16,35,21,35.40
36,11,17,4,20.40
1,0,40,20,7.80
3,3,33,20,21.00
4,6,23,18,11.40
9,10,34,8,24.90
24,0,9,10,33.90
30,12,45,20,3.60
48,18,17,2,20.40
43,4,33,10,21.00
3,8,41,21,29.70
31,6,15,7,21.90
49,5,36,16,30.30
1,2,11,17,20.70
2,14,12,8,38.70
27,4,47,1,7.50
7,9,48,12,9.90
9,0,36,8,30.30
14,13,42,22,15.00
36,0,47,18,7.50
39,10,25,17,31.50
47,0,32,24,6.90
7,11,25,16,31.50
24,7,24,6,33.90
25,0,27,1,28.80
36,5,19,24,7.80
38,11,49,1,3.00
42,2,7,9,37.20
42,7,17,15,20.40
43,15,11,19,20.70
49,1,12,4,38.70
7,0,30,20,7.80
11,5,17,21,20.40
26,1,5,6,31.50
32,9,37,5,12.90
35,0,23,1,11.40
48,9,46,21,9.60
1,11,49,20,3.00
4,10,31,23,15.60
11,10,22,22,9.00
24,20,8,24,19.80
40,11,34,10,24.90
40,13,24,21,33.90
41,5,20,3,24.30
11,11,7,15,37.20
32,3,11,21,20.70
34,1,27,8,28.80
10,1,8,8,19.80
47,4,23,9,11.40
20,0,10,12,24.60
21,0,16,2,28.50
22,3,25,5,31.50
33,3,45,8,3.60
33,4,21,13,21.60
43,13,7,23,37.20
44,6,32,11,6.90
3,1,0,24,5.40
4,14,38,5,34.20
8,4,11,11,20.70
14,3,12,14,38.70
37,0,36,24,30.30
22,9,30,19,7.80
36,1,18,17,3.30
1,9,48,2,9.90
8,6,13,18,38.40
26,12,5,21,31.50
39,2,25,21,31.50
43,7,11,21,20.70
10,4,22,4,9.00
14,8,26,12,26.70
49,2,3,4,19.50
3,12,20,21,24.30
44,4,49,19,3.00
3,4,43,11,32.70
3,11,2,12,18.60
16,1,10,16,24.60
22,11,42,14,15.00
24,1,16,5,28.50
28,11,20,13,24.30
34,2,38,7,34.20
3,9,23,1,11.40
26,7,47,2,7.50
41,0,21,23,21.60
48,21,49,13,3.00
6,9,4,10,35.70
11,7,4,15,35.70
13,0,6,18,22.50
14,0,24,2,33.90
40,14,20,24,24.30
8,1,25,3,31.50
13,7,9,11,33.90
37,5,4,9,35.70
44,3,41,6,29.70
49,0,18,10,3.30
18,0,48,7,9.90
38,6,16,10,28.50
22,0,35,17,35.40
16,0,34,24,24.90
18,2,13,6,38.40
19,3,44,16,29.40
20,2,45,4,3.60
24,10,2,20,18.60
29,5,41,8,29.70
42,0,32,12,6.90
17,0,10,18,24.60
25,1,28,7,34.80
27,0,17,15,20.40
39,5,23,4,11.40
43,5,43,23,32.70
48,12,46,9,9.60
24,2,10,15,24.60
37,13,13,21,38.40
12,4,34,17,24.90
2,6,24,16,33.90
37,9,28,5,34.80
49,14,1,7,32.70
28,1,33,18,21.00
9,6,30,3,7.80
17,3,28,13,34.80
24,3,19,6,7.80
33,2,4,21,35.70
34,3,0,12,5.40
11,0,40,3,7.80
13,1,7,1,37.20
28,6,14,22,16.20
28,8,21,6,21.60
43,16,34,21,24.90
3,5,47,15,7.50
24,11,21,3,21.60
30,1,27,24,28.80
0,2,37,20,12.90
6,7,16,2,28.50
13,5,29,18,21.90
36,3,37,17,12.90
4,5,27,1,28.80
6,10,32,24,6.90
14,11,32,16,6.90
31,4,40,12,7.80
32,11,40,22,7.80
40,9,0,19,5.40
18,7,36,7,30.30
28,15,4,1,35.70
48,15,17,13,20.40
1,7,47,4,7.50
11,3,25,9,31.50
22,14,16,9,28.50
35,1,34,21,24.90
39,6,45,12,3.60
26,3,7,2,37.20
37,8,41,1,29.70
37,11,48,19,9.90
15,2,46,4,9.60
30,10,48,20,9.90
4,3,5,11,31.50
9,12,44,8,29.40
22,7,40,8,7.80
18,8,27,23,28.80
22,5,25,19,31.50
26,11,12,10,38.70
34,11,22,19,9.00
46,2,28,24,34.80
3,15,48,22,9.90
26,15,21,11,21.60
30,8,44,3,29.40
33,6,40,19,7.80
40,6,23,23,11.40
6,6,1,11,32.70
43,6,33,6,21.00
2,13,12,6,38.70
26,16,31,4,15.60
27,3,45,2,3.60
28,13,48,24,9.90
6,11,6,6,22.50
8,8,30,22,7.80
15,1,21,21,21.60
26,19,19,2,7.80
30,6,38,1,34.20
48,1,28,21,34.80
49,3,48,11,9.90
7,14,5,9,31.50
26,2,49,15,3.00
37,2,17,14,20.40
43,3,39,23,10.20
3,13,19,9,7.80
4,0,12,14,38.70
23,2,26,2,26.70
29,4,5,21,31.50
44,7,35,24,35.40
49,13,7,16,37.20
